اطلاعات ورود به سیستم,,,,عملیات,,,سند,,,,
شناسه,شعبه,سال مالی,کاربر,تاریخ,زمان,نوع,سیستم,نوع,شماره,تاریخ,توضیحات
,شركت كيهان راه شرق (سهامي خاص),1404,نيكنام1,1405/04/09,14:25:10,موجوديت جديد,حسابداري,سند حسابداري,2858,1405/03/04,سند عمومي با شماره ثابت 2858 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,آقاحاجي3,1405/04/09,14:24:49,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,صابونيزاده1,1405/04/09,14:24:35, ويرايش موجوديت,انبار,سند انبار,8515,1405/03/24,سند رسيد خريد  با شماره 8515 ثبت شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:23:32, ويرايش موجوديت,حسابداري,سند حسابداري,8805,1404/12/29,سند عمومي با شماره 8805 تاييد شد
,احداث راه پاسارگاد,1404,فاطمي16,1405/04/09,14:23:12, ويرايش موجوديت,خزانه داري,سند حسابداري,663,1404/10/22,سند عمومي با شماره 663 تاييد شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:23:06, ويرايش موجوديت,حسابداري,سند حسابداري,8946,1404/12/29,سند عمومي با شماره ثابت 8946 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,14:22:56, ويرايش موجوديت,خزانه داري,سند حسابداري,6046,1404/12/16,سند عمومي با شماره 6046 تاييد شد
,شركت برش كوه آريا پارت (سهامي خاص),1405,شاهوردي5,1405/04/09,14:22:54,ورود موفق,,نشست,,,
,,,شاهوردي5,1405/04/09,14:22:48,ورود ناموفق (عدم صحت نام کاربر يا کلمه عبور),,نشست,,,
,,,شاهوردي5,1405/04/09,14:22:43,ورود ناموفق (عدم صحت نام کاربر يا کلمه عبور),,نشست,,,
,احداث راه پاسارگاد,1404,فاطمي16,1405/04/09,14:22:40, ويرايش موجوديت,خزانه داري,سند حسابداري,563,1404/09/26,سند عمومي با شماره 563 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,14:22:11, ويرايش موجوديت,خزانه داري,سند حسابداري,6021,1404/12/14,سند عمومي با شماره 6021 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,مجتبي سابقي1,1405/04/09,14:21:53,موجوديت جديد,انبار,سند انبار,1816,1405/04/08,سند حواله انتقال بين انبار با شماره 1816 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,جوانمرد3,1405/04/09,14:21:50,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,مجتبي سابقي1,1405/04/09,14:21:48, ويرايش موجوديت,انبار,سند انبار,2,1405/01/08,سند رسيد خريد  با شماره 2 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,14:21:38, ويرايش موجوديت,خزانه داري,سند حسابداري,5905,1404/12/09,سند عمومي با شماره 5905 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1404,جوانمرد1,1405/04/09,14:21:37, ويرايش موجوديت,خزانه داري,سند حسابداري,20518,1404/08/14,سند عمومي با شماره 20518 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/09,14:21:30,موجوديت جديد,انبار,سند انبار,1815,1405/03/24,سند حواله انتقال بين انبار با شماره 1815 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,مجتبي سابقي1,1405/04/09,14:21:17, ويرايش موجوديت,انبار,سند انبار,2,1405/01/08,سند رسيد خريد  با شماره 2 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,مروي,1405/04/09,14:21:09,موجوديت جديد,انبار,سند انبار,1585,1405/04/09,سند رسيد انتقال بين انبار با شماره 1585 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,14:20:56,موجوديت جديد,انبار,سند انبار,4959,1405/04/09,سند تاييد درخواست كالا با شماره 4959 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,14:20:47, ويرايش موجوديت,انبار,سند انبار,4452,1405/03/15,سند درخواست كالا از انبار با شماره 4452 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,اديبپور1,1405/04/09,14:20:46,موجوديت جديد,خزانه داري,سند خزانه داري,514,1405/03/31,سند صورت هزينه تنخواه با شماره 514 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,جوانمرد1,1405/04/09,14:20:42, ويرايش موجوديت,خزانه داري,سند حسابداري,20518,1404/08/14,سند عمومي با شماره 20518 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,14:20:30, ويرايش موجوديت,خزانه داري,سند حسابداري,5895,1404/12/07,سند عمومي با شماره 5895 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,مجتبي سابقي1,1405/04/09,14:20:25, ويرايش موجوديت,انبار,سند انبار,2,1405/01/08,سند رسيد خريد  با شماره 2 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,كسري_دهقان1,1405/04/09,14:20:23,موجوديت جديد,حسابداري,سند حسابداري,2857,1405/03/02,سند عمومي با شماره ثابت 2857 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,نيكنام1,1405/04/09,14:20:23,موجوديت جديد,حسابداري,سند حسابداري,2856,1405/03/11,سند عمومي با شماره ثابت 2856 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,14:20:22,موجوديت جديد,انبار,سند انبار,4958,1405/04/09,سند تاييد درخواست كالا با شماره 4958 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,14:19:53, ويرايش موجوديت,انبار,سند انبار,5632,1405/03/28,سند درخواست كالا از انبار با شماره 5632 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,14:19:44, ويرايش موجوديت,خزانه داري,سند حسابداري,5873,1404/12/06,سند عمومي با شماره 5873 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,14:19:32, حذف موجوديت,انبار,سند انبار,3795,1405/03/18,سند تاييد درخواست كالا با شماره 3795 حذف شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,تقيزاده2,1405/04/09,14:18:38,موجوديت جديد,حسابداري,سند حسابداري,1118,1405/02/07,سند عمومي با شماره ثابت 1118 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,درويش_نيا_تربت,1405/04/09,14:18:14,موجوديت جديد,انبار,سند انبار,1584,1405/04/09,سند رسيد انتقال بين انبار با شماره 1584 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/09,14:17:30,موجوديت جديد,انبار,سند انبار,8522,1405/02/10,سند رسيد خريد  با شماره 8522 ثبت شد
,احداث راه پاسارگاد,1404,فاطمي16,1405/04/09,14:17:28, ويرايش موجوديت,حسابداري,سند حسابداري,963,1404/09/26,سند عمومي با شماره ثابت 963 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,14:17:26, حذف موجوديت,انبار,سند انبار,4422,1405/03/28,سند تاييد درخواست كالا با شماره 4422 حذف شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:16:44, ويرايش موجوديت,حسابداري,سند حسابداري,8806,1404/11/30,سند عمومي با شماره 8806 تاييد شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:16:29, ويرايش موجوديت,حسابداري,سند حسابداري,8947,1404/11/30,سند عمومي با شماره ثابت 8947 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,14:16:22, ويرايش موجوديت,خزانه داري,سند حسابداري,5850,1404/12/05,سند عمومي با شماره 5850 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,14:16:14,موجوديت جديد,انبار,سند انبار,4957,1405/04/09,سند تاييد درخواست كالا با شماره 4957 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,جوانمرد1,1405/04/09,14:15:58,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,14:15:56, ويرايش موجوديت,انبار,سند انبار,5645,1405/03/28,سند درخواست كالا از انبار با شماره 5645 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,دادرس3,1405/04/09,14:15:23, ويرايش موجوديت,خزانه داري,سند حسابداري,6175,1404/12/04,سند عمومي با شماره 6175 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,آقاحاجي1,1405/04/09,14:15:10,موجوديت جديد,حسابداري,سند حسابداري,2855,1405/03/23,سند عمومي با شماره ثابت 2855 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,14:15:06,موجوديت جديد,خزانه داري,سند حسابداري,8510,1404/07/06,سند عمومي با شماره 8510 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,14:14:51,موجوديت جديد,خزانه داري,سند خزانه داري,2854,1404/07/06,سند صورت هزينه تنخواه با شماره 2854 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:14:48, ويرايش موجوديت,حسابداري,سند حسابداري,8802,1404/11/15,سند عمومي با شماره 8802 تاييد شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:14:29, ويرايش موجوديت,حسابداري,سند حسابداري,8943,1404/11/15,سند عمومي با شماره ثابت 8943 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,تقيزاده2,1405/04/09,14:14:21,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,صابري1,1405/04/09,14:12:49,موجوديت جديد,حسابداري,سند حسابداري,30824,1404/12/15,سند عمومي با شماره ثابت 30824 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:12:14, ويرايش موجوديت,حسابداري,سند حسابداري,8803,1404/10/30,سند عمومي با شماره 8803 تاييد شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:11:49, ويرايش موجوديت,حسابداري,سند حسابداري,8944,1404/10/30,سند عمومي با شماره ثابت 8944 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/09,14:11:42, ويرايش موجوديت,حسابداري,سند حسابداري,2853,1405/03/17,سند عمومي با شماره ثابت 2853 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سبزبان1,1405/04/09,14:11:38, ويرايش موجوديت,انبار,سند انبار,8518,1405/03/23,سند رسيد خريد  با شماره 8518 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/09,14:11:27, ويرايش موجوديت,حسابداري,سند حسابداري,2853,1405/03/12,سند عمومي با شماره ثابت 2853 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/09,14:10:07, ويرايش موجوديت,حسابداري,سند حسابداري,2853,1405/03/12,سند عمومي با شماره ثابت 2853 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/09,14:09:38, ويرايش موجوديت,انبار,سند انبار,6308,1405/04/09,سند درخواست كالا از انبار با شماره 6308 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/09,14:09:23, ويرايش موجوديت,حسابداري,سند حسابداري,2853,1405/03/12,سند عمومي با شماره ثابت 2853 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,سپهريان1,1405/04/09,14:09:08, ويرايش موجوديت,خزانه داري,سند حسابداري,2189,1405/03/20,سند عمومي با شماره 2189 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/09,14:08:57, ويرايش موجوديت,حسابداري,سند حسابداري,2853,1405/03/12,سند عمومي با شماره ثابت 2853 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,14:08:07, ويرايش موجوديت,انبار,سند انبار,6303,1405/04/09,سند درخواست كالا از انبار با شماره 6303 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/09,14:07:58, ويرايش موجوديت,انبار,سند انبار,6303,1405/04/09,سند درخواست كالا از انبار با شماره 6303 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,درويش_نيا_تربت,1405/04/09,14:07:52,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,سرحدي,1405/04/09,14:07:19,موجوديت جديد,انبار,سند انبار,1814,1405/04/09,سند حواله انتقال بين انبار با شماره 1814 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,سپهريان1,1405/04/09,14:07:15,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,سبزبان1,1405/04/09,14:07:14, ويرايش موجوديت,انبار,سند انبار,8518,1405/03/23,سند رسيد خريد  با شماره 8518 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/09,14:06:59, ويرايش موجوديت,خزانه داري,سند حسابداري,6021,1404/12/14,سند عمومي با شماره 6021 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,14:06:59,موجوديت جديد,خزانه داري,سند حسابداري,8509,1404/09/18,سند عمومي با شماره 8509 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,كسري_دهقان1,1405/04/09,14:06:50,موجوديت جديد,حسابداري,سند حسابداري,2854,1405/03/05,سند عمومي با شماره ثابت 2854 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/09,14:06:47,موجوديت جديد,انبار,سند انبار,8521,1405/02/20,سند رسيد خريد  با شماره 8521 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,14:06:39,موجوديت جديد,خزانه داري,سند خزانه داري,2853,1404/09/18,سند صورت هزينه تنخواه با شماره 2853 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/09,14:06:28, ويرايش موجوديت,خزانه داري,سند حسابداري,6046,1404/12/16,سند عمومي با شماره 6046 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/09,14:05:59, ويرايش موجوديت,خزانه داري,سند حسابداري,6175,1404/12/04,سند عمومي با شماره 6175 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سرحدي,1405/04/09,14:05:47,موجوديت جديد,انبار,سند انبار,1813,1405/03/05,سند حواله انتقال بين انبار با شماره 1813 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/09,14:05:38,موجوديت جديد,حسابداري,سند حسابداري,2853,1405/03/12,سند عمومي با شماره ثابت 2853 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,اجنوردي1,1405/04/09,14:05:35, ويرايش موجوديت,انبار,سند انبار,4176,1405/04/09,سند حواله مصرف ماشين آلات با شماره 4176 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/09,14:05:29, ويرايش موجوديت,انبار,سند انبار,8354,1405/03/24,سند رسيد خريد  با شماره 8354 ثبت شد
,احداث راه پاسارگاد,1404,فاطمي16,1405/04/09,14:05:07, ويرايش موجوديت,حسابداري,سند حسابداري,963,1404/09/26,سند عمومي با شماره ثابت 963 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:04:55, ويرايش موجوديت,حسابداري,سند حسابداري,8762,1404/12/29,سند عمومي با شماره 8762 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/09,14:04:33, ويرايش موجوديت,خزانه داري,سند حسابداري,5850,1404/12/05,سند عمومي با شماره 5850 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:04:31, ويرايش موجوديت,حسابداري,سند حسابداري,8903,1404/12/29,سند عمومي با شماره ثابت 8903 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,14:04:24, ويرايش موجوديت,حسابداري,سند حسابداري,8903,1404/12/29,سند عمومي با شماره ثابت 8903 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/09,14:04:21, ويرايش موجوديت,انبار,سند انبار,8354,1405/03/24,سند رسيد خريد  با شماره 8354 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,نيكنام1,1405/04/09,14:04:14, ويرايش موجوديت,حسابداري,سند حسابداري,2852,1405/03/03,سند عمومي با شماره ثابت 2852 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,بهرامي1بيرجند,1405/04/09,14:04:06,موجوديت جديد,انبار,سند انبار,8520,1405/03/25,سند رسيد خريد  با شماره 8520 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,حسيني_ريمدان,1405/04/09,14:04:04, ويرايش موجوديت,انبار,سند انبار,6308,1405/04/09,سند درخواست كالا از انبار با شماره 6308 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سبزبان1,1405/04/09,14:03:52, ويرايش موجوديت,انبار,سند انبار,8518,1405/03/23,سند رسيد خريد  با شماره 8518 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,الاجگردي1,1405/04/09,14:03:51, ويرايش موجوديت,خزانه داري,سند حسابداري,30787,1404/12/03,سند عمومي با شماره 30787 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,آقاحاجي1,1405/04/09,14:03:36,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/09,14:03:36,موجوديت جديد,انبار,سند انبار,8519,1405/01/25,سند رسيد خريد  با شماره 8519 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,نيكنام1,1405/04/09,14:03:28,موجوديت جديد,حسابداري,سند حسابداري,2852,1405/03/03,سند عمومي با شماره ثابت 2852 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سبزبان1,1405/04/09,14:03:26, ويرايش موجوديت,انبار,سند انبار,8518,1405/03/23,سند رسيد خريد  با شماره 8518 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/09,14:03:11, ويرايش موجوديت,انبار,سند انبار,8354,1405/03/24,سند رسيد خريد  با شماره 8354 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/09,14:02:36, ويرايش موجوديت,انبار,سند انبار,8354,1405/03/24,سند رسيد خريد  با شماره 8354 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سبزبان1,1405/04/09,14:02:05,موجوديت جديد,انبار,سند انبار,8518,1405/03/23,سند رسيد خريد  با شماره 8518 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,بهرامي1بيرجند,1405/04/09,14:02:03,موجوديت جديد,انبار,سند انبار,8517,1405/03/09,سند رسيد خريد  با شماره 8517 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/09,14:01:34, ويرايش موجوديت,خزانه داري,سند حسابداري,5873,1404/12/06,سند عمومي با شماره 5873 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/09,14:01:31, ويرايش موجوديت,انبار,سند انبار,4589,1405/03/04,سند رسيد خريد  با شماره 4589 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,الاجگردي1,1405/04/09,14:01:17, ويرايش موجوديت,خزانه داري,سند حسابداري,30789,1404/12/28,سند عمومي با شماره 30789 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,14:01:05,موجوديت جديد,خزانه داري,سند حسابداري,8508,1404/09/16,سند عمومي با شماره 8508 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,پاشايي,1405/04/09,14:01:02, ويرايش موجوديت,انبار,سند انبار,8354,1405/03/24,سند رسيد خريد  با شماره 8354 ثبت شد
,شركت بنا بام بيستون (سهامي خاص),1405,برهان,1405/04/09,14:00:58, ويرايش موجوديت,حسابداري,سند حسابداري,1716,1405/01/31,سند عمومي با شماره ثابت 1716 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,14:00:50,موجوديت جديد,خزانه داري,سند خزانه داري,2852,1404/09/16,سند صورت هزينه تنخواه با شماره 2852 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمد رضايي,1405/04/09,14:00:20, ويرايش موجوديت,انبار,سند انبار,7654,1405/03/20,سند رسيد خريد  با شماره 7654 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,14:00:14, ويرايش موجوديت,انبار,سند انبار,6294,1405/04/09,سند درخواست كالا از انبار با شماره 6294 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,13:59:47,موجوديت جديد,انبار,سند انبار,4956,1405/04/09,سند تاييد درخواست كالا با شماره 4956 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,13:59:44, ويرايش موجوديت,انبار,سند انبار,4955,1405/04/09,سند تاييد درخواست كالا با شماره 4955 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/09,13:59:43, ويرايش موجوديت,خزانه داري,سند حسابداري,5873,1404/12/06,سند عمومي با شماره 5873 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,13:59:35,موجوديت جديد,انبار,سند انبار,4955,1405/04/09,سند تاييد درخواست كالا با شماره 4955 ثبت شد
,شركت بنا بام بيستون (سهامي خاص),1405,پوريامومني4,1405/04/09,13:59:34,موجوديت جديد,خزانه داري,سند حسابداري,494,1405/01/27,سند عمومي با شماره 494 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/09,13:59:30, ويرايش موجوديت,حسابداري,سند حسابداري,2849,1405/03/10,سند عمومي با شماره ثابت 2849 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,13:59:05,موجوديت جديد,انبار,سند انبار,4954,1405/04/09,سند تاييد درخواست كالا با شماره 4954 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,13:58:57, ويرايش موجوديت,انبار,سند انبار,6132,1405/04/07,سند درخواست كالا از انبار با شماره 6132 ثبت شد
,شركت بنا بام بيستون (سهامي خاص),1405,پوريامومني4,1405/04/09,13:58:47, ويرايش موجوديت,خزانه داري,سند خزانه داري,18,1405/01/27,سند صورت هزينه تنخواه با شماره 18 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,تقيزاده1,1405/04/09,13:58:46, ويرايش موجوديت,حسابداري,سند حسابداري,2849,1405/03/10,سند عمومي با شماره ثابت 2849 ذخيره شد
,احداث راه پاسارگاد,1404,فاطمي16,1405/04/09,13:58:38, ويرايش موجوديت,حسابداري,سند حسابداري,963,1404/09/26,سند عمومي با شماره ثابت 963 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,13:58:22, ويرايش موجوديت,انبار,سند انبار,6119,1405/04/07,سند درخواست كالا از انبار با شماره 6119 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/09,13:58:16, ويرايش موجوديت,خزانه داري,سند حسابداري,5895,1404/12/07,سند عمومي با شماره 5895 ذخيره شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,13:58:11, ويرايش موجوديت,حسابداري,سند حسابداري,8844,1404/12/29,سند عمومي با شماره 8844 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/09,13:58:04,موجوديت جديد,انبار,سند انبار,4953,1405/04/09,سند تاييد درخواست كالا با شماره 4953 ثبت شد
,شركت دنا بنيان بيرجند (سهامي خاص),1404,نباتي2,1405/04/09,13:57:58, ويرايش موجوديت,حسابداري,سند حسابداري,8985,1404/12/29,سند عمومي با شماره ثابت 8985 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/09,13:57:51, ويرايش موجوديت,خزانه داري,سند حسابداري,5905,1404/12/09,سند عمومي با شماره 5905 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,13:57:35,موجوديت جديد,انبار,سند انبار,4952,1405/04/09,سند تاييد درخواست كالا با شماره 4952 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/09,13:57:23, ويرايش موجوديت,انبار,سند انبار,6284,1405/04/09,سند درخواست كالا از انبار با شماره 6284 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدحداد,1405/04/09,13:57:23, ويرايش موجوديت,انبار,سند انبار,6135,1405/04/07,سند درخواست كالا از انبار با شماره 6135 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,جوانمرد3,1405/04/09,13:57:17,موجوديت جديد,خزانه داري,سند حسابداري,8507,1404/07/06,سند عمومي با شماره 8507 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ظريفي,1405/04/09,13:57:13,موجوديت جديد,انبار,سند انبار,4951,1405/04/09,سند تاييد درخواست كالا با شماره 4951 ثبت شد
